Name, Realised 1yr Vol, CF2Debt Ratio,DefaultRisk
OC Oerlikon Corp AG,26.34,0.13,Low
Rheinmetall AG,31.58,0.12,High
Rolls-Royce Holdings PLC,26.61,0.12,Low
Koninklijke Philips NV,22.52,0.12,Low
BBA Aviation PLC,18.2,0.12,Low
Eni SpA,26.74,0.12,High
Imerys SA,22.09,0.12,Low
Swisscom AG,16.41,0.12,Low
Eutelsat Communications SA,17.26,0.11,Low
Umicore SA,21.17,0.11,Low
Babcock International Group PLC,23.08,0.11,Low
ISS A/S,24.02,0.11,Low
Petrofac Ltd,45.54,0.11,High
Eurofins Scientific SE,29.81,0.11,Low
Deutsche Telekom AG,25.24,0.11,High
Marine Harvest ASA,28.67,0.11,Low
Gjensidige Forsikring ASA,21.01,0.11,Low
Gerresheimer AG,28.32,0.11,Low
Amec Foster Wheeler PLC,28.66,0.11,High
Huhtamaki OYJ,24.44,0.11,Low
LANXESS AG,25.95,0.11,High
Getinge AB,29.35,0.11,Low
Fresenius SE & Co KGaA,21.68,0.11,Low
Aeroports de Paris,17.84,0.1,Low
Rexam PLC,23.57,0.1,Low
Symrise AG,21.06,0.1,Low
Glencore PLC,30.22,0.1,High
Royal Dutch Shell PLC,22.01,0.1,Low
SSE PLC,18.65,0.1,Low
Nordea Bank AB,23.67,0.1,High
Close Brothers Group PLC,19.63,0.1,Low
Ocado Group PLC,49.91,0.1,High
Tate & Lyle PLC,28.7,0.1,High
Siemens AG,21.95,0.1,Low
Stora Enso OYJ,30.12,0.1,High
Bollore SA,28.51,0.1,High
Standard Chartered PLC,25.87,0.1,High
Galp Energia SGPS SA,31.33,0.09,High
Fraport AG Frankfurt Airport Services Wo,18.64,0.09,Low
Cobham PLC,20.6,0.09,Low
STADA Arzneimittel AG,27.1,0.09,Low
Rexel SA,24.18,0.09,High
Antofagasta PLC,28.25,0.09,Low
Cie de Saint-Gobain,27.53,0.09,High
Husqvarna AB,27.46,0.09,Low
Deutsche EuroShop AG,18.35,0.09,Low
Melrose Industries PLC,23.06,0.09,High
Saipem SpA,41.8,0.08,High
Aryzta AG,30.05,0.08,High
Neopost SA,29.01,0.08,High
Enel SpA,29.86,0.08,High
International Personal Finance PLC,37.46,0.08,High
Orange SA,29.13,0.08,High
Koninklijke Vopak NV,27.24,0.08,Low
RWE AG,28.41,0.08,High
Arkema SA,37.85,0.08,Low
Air Liquide SA,19.91,0.08,Low
BP PLC,21.59,0.08,High
Carlsberg A/S,21.64,0.08,Low
Pernod Ricard SA,19.13,0.08,Low
Enagas SA,19.97,0.08,Low
Smurfit Kappa Group PLC,31.51,0.07,High
Numericable-SFR SAS,40.74,0.07,High
Snam SpA,24.83,0.07,High
UBS Group AG,24.1,0.07,Low
Ferrovial SA,19.94,0.07,Low
LafargeHolcim Ltd,24.67,0.07,Low
Thomas Cook Group PLC,42.59,0.07,High
Vodafone Group PLC,22.21,0.07,Low
Grifols SA,28.27,0.07,Low
BAE Systems PLC,17.53,0.07,Low
Vallourec SA,37.56,0.07,High
Danske Bank A/S,20.58,0.06,High
Distribuidora Internacional de Alimentac,28.29,0.06,High
Abertis Infraestructuras SA,20.26,0.06,Low
METRO AG,27.17,0.06,High
Clariant AG,24.43,0.06,Low
DNB ASA,22.65,0.06,Low
G4S PLC,18.75,0.06,Low
Koninklijke KPN NV,26.08,0.06,High
Merlin Entertainments PLC,20.21,0.06,Low
HeidelbergCement AG,25.6,0.06,High
Telefonica SA,19.84,0.06,Low
Suez Environnement Co,28.58,0.06,High
Renault SA,31.93,0.06,High
Swiss Prime Site AG,13.57,0.06,Low
Eiffage SA,29.34,0.05,High
Akzo Nobel NV,23.11,0.05,Low
Atlantia SpA,26.37,0.05,High
Infineon Technologies AG,28,0.05,Low
Engie,23.35,0.05,High
Lagardere SCA,25.15,0.05,High
E.ON SE,24.11,0.05,High
Provident Financial PLC,20.99,0.05,Low
Dufry AG,25.93,0.05,Low
Bilfinger SE,43.57,0.05,High
National Grid PLC,16.1,0.05,Low
Groupe Eurotunnel SE,20.52,0.04,Low
Telecom Italia SpA,31.64,0.04,High
Deutsche Bank AG,26.6,0.04,High
Telecity Group PLC,31.54,0.04,Low
Swedbank AB,19.66,0.04,Low
Iberdrola SA,17.04,0.04,Low
Accor SA,23.24,0.04,Low
Kering,22.48,0.04,Low
Volvo AB,27.84,0.04,Low
ING Groep NV,28.04,0.03,High
Veolia Environnement SA,24.02,0.03,High
Klepierre,22.25,0.03,Low
Repsol SA,22.41,0.03,High
MAN SE,7.64,0.03,Low
Tele2 AB,22.04,0.03,High
ThyssenKrupp AG,26.94,0.02,High
Zodiac Aerospace,25.98,0.02,Low
Greene King PLC,19.59,0.02,Low
BNP Paribas SA,26.01,0.02,High
J Sainsbury PLC,29.11,0.02,High
Casino Guichard Perrachon SA,22.25,0.02,High
EDP - Energias de Portugal SA,25.66,0.02,High
Volkswagen AG,24.93,0.02,High
Remy Cointreau SA,23.56,0.01,Low
Severn Trent PLC,17.79,0.01,Low
Wendel SA,22.26,0.01,High
Travis Perkins PLC,21.67,0.01,Low
Red Electrica Corp SA,21.03,0.01,Low
Baloise Holding AG,19.29,0.01,Low
Unibail-Rodamco SE,22.3,0.01,Low
Natixis SA,29.04,0.01,High
United Utilities Group PLC,19.47,0.01,High
Tullow Oil PLC,43.68,0.01,High
Intu Properties PLC,18.92,0.01,Low
Credit Suisse Group AG,26.34,0,High
Bouygues SA,29,0,High
Whitbread PLC,18.78,0,Low
RPC Group PLC,23.47,0,Low
Bellway PLC,26.71,0,Low
Carrefour SA,23.21,0,Low
CNH Industrial NV,30.49,0,High
Legal & General Group PLC,19.33,-0.01,Low
EXOR SpA,25.98,-0.01,High
British Land Co PLC/The,17.63,-0.01,Low
Technip SA,30.28,-0.01,High
Finmeccanica SpA,35.21,-0.01,High
Pennon Group PLC,16.55,-0.01,Low
PSP Swiss Property AG,15.08,-0.02,Low
Dixons Carphone PLC,26.64,-0.02,High
Deutsche Annington Immobilien SE,23.47,-0.02,High
ArcelorMittal,31.51,-0.02,High
ICADE,21.88,-0.02,Low
Deutsche Lufthansa AG,31.14,-0.02,High
voestalpine AG,27.84,-0.02,High
Alcatel-Lucent,41.98,-0.02,High
Gecina SA,20.41,-0.02,Low
Koninklijke DSM NV,21.53,-0.03,Low
LEG Immobilien AG,20.23,-0.03,High
IMMOFINANZ AG,27.91,-0.03,High
International Consolidated Airlines Grou,32.69,-0.03,High
Barry Callebaut AG,20.84,-0.03,Low
Anglo American PLC,33.48,-0.04,High
Land Securities Group PLC,17.9,-0.04,Low
Jyske Bank A/S,21.71,-0.04,High
Hammerson PLC,17.76,-0.04,Low
Ageas,21.92,-0.05,Low
Bayerische Motoren Werke AG,26.09,-0.05,High
Nokia OYJ,31.44,-0.05,Low
Cable & Wireless Communications PLC,23.24,-0.05,High
Firstgroup PLC,27.73,-0.05,High
OMV AG,26.21,-0.06,High
Swiss Life Holding AG,20.53,-0.06,Low
Leoni AG,31.99,-0.06,High
TOTAL SA,25.98,-0.07,Low
Daimler AG,25.45,-0.07,High
Electricite de France SA,23.97,-0.08,High
Castellum AB,19.11,-0.08,Low
Shaftesbury PLC,15.87,-0.08,Low
Statoil ASA,27.47,-0.08,High
Alstom SA,25.72,-0.09,Low
Neste Oyj,29.58,-0.09,High
Unione di Banche Italiane SCpA,42.93,-0.09,High
OCI NV,36.03,-0.1,High
Seadrill Ltd,53.19,-0.1,High
Tesco PLC,30.91,-0.1,High
Banca Popolare di Milano Scarl,46.19,-0.11,High
Enel Green Power SpA,24.78,-0.11,High
Johnson Matthey PLC,21.52,-0.11,Low
Abengoa SA,83.1,-0.11,High
Segro PLC,17.67,-0.11,Low
Ashtead Group PLC,30.48,-0.11,Low
Deutsche Wohnen AG,22.95,-0.13,Low
Balfour Beatty PLC,39.79,-0.13,High
Great Portland Estates PLC,19.44,-0.13,Low
Telefonaktiebolaget LM Ericsson,24.5,-0.13,Low
ICA Gruppen AB,21.23,-0.13,Low
BG Group PLC,34.3,-0.16,High
SBM Offshore NV,39.06,-0.19,High
Orpea,18.86,-0.22,Low
Standard Life PLC,21.55,-0.24,Low
Derwent London PLC,17.32,-0.25,Low
Fresnillo PLC,33.85,-0.31,Low
Eurazeo SA,27.34,-0.37,Low
K+S AG,36.53,-0.4,High
Lundin Petroleum AB,29.05,-0.48,High
UnipolSai SpA,29.79,-0.49,Low
Capital & Counties Properties PLC,17.62,-0.55,Low
TNT Express NV,32.7,-0.77,High
